climate_pathway,financial_line_item,year,financial_line_item_shock
Current Policies,EBIT,2025,-61579.68896
Current Policies,FCFF,2025,-49263.75117
Current Policies,DCF,2025,-32818.19101
Current Policies,EBIT,2026,699.8206565
Current Policies,FCFF,2026,559.8565252
Current Policies,DCF,2026,248.4569017
Current Policies,EBIT,2027,874.1907859
Current Policies,FCFF,2027,699.3526288
Current Policies,DCF,2027,206.755796
Current Policies,EBIT,2028,1062.121343
Current Policies,FCFF,2028,849.6970745
Current Policies,DCF,2028,167.3450092
Current Policies,EBIT,2029,1264.460604
Current Policies,FCFF,2029,1011.568483
Current Policies,DCF,2029,132.7183861
Current Policies,EBIT,2030,1482.105047
Current Policies,FCFF,2030,1185.684038
Current Policies,DCF,2030,103.6315361
Current Policies,EBIT,2031,1516.240187
Current Policies,FCFF,2031,1212.992149
Current Policies,DCF,2031,70.62656965
Current Policies,EBIT,2032,1737.310948
Current Policies,FCFF,2032,1389.848758
Current Policies,DCF,2032,53.90944078
Current Policies,EBIT,2033,1974.226374
Current Policies,FCFF,2033,1579.381099
Current Policies,DCF,2033,40.81044967
Current Policies,EBIT,2034,2227.932815
Current Policies,FCFF,2034,1782.346252
Current Policies,DCF,2034,30.68058818
Fragmented World,EBIT,2025,-61579.68896
Fragmented World,FCFF,2025,-49263.75117
Fragmented World,DCF,2025,-32818.19101
Fragmented World,EBIT,2026,699.8206565
Fragmented World,FCFF,2026,559.8565252
Fragmented World,DCF,2026,248.4569017
Fragmented World,EBIT,2027,874.1907859
Fragmented World,FCFF,2027,699.3526288
Fragmented World,DCF,2027,206.755796
Fragmented World,EBIT,2028,1062.121343
Fragmented World,FCFF,2028,849.6970745
Fragmented World,DCF,2028,167.3450092
Fragmented World,EBIT,2029,1264.460604
Fragmented World,FCFF,2029,1011.568483
Fragmented World,DCF,2029,132.7183861
Fragmented World,EBIT,2030,1482.105047
Fragmented World,FCFF,2030,1185.684038
Fragmented World,DCF,2030,103.6315361
Fragmented World,EBIT,2031,1723.089764
Fragmented World,FCFF,2031,1378.471811
Fragmented World,DCF,2031,80.26163683
Fragmented World,EBIT,2032,1964.965874
Fragmented World,FCFF,2032,1571.972699
Fragmented World,DCF,2032,60.9736625
Fragmented World,EBIT,2033,2224.221084
Fragmented World,FCFF,2033,1779.376867
Fragmented World,DCF,2033,45.97824435
Fragmented World,EBIT,2034,2501.901348
Fragmented World,FCFF,2034,2001.521078
Fragmented World,DCF,2034,34.45337509
NDCs,EBIT,2025,-61409.06814
NDCs,FCFF,2025,-49127.25451
NDCs,DCF,2025,-32727.26059
NDCs,EBIT,2026,885.3211575
NDCs,FCFF,2026,708.256926
NDCs,DCF,2026,314.3150316
NDCs,EBIT,2027,1075.514717
NDCs,FCFF,2027,860.411774
NDCs,DCF,2027,254.3711339
NDCs,EBIT,2028,1280.268778
NDCs,FCFF,2028,1024.215022
NDCs,DCF,2028,201.7157378
NDCs,EBIT,2029,1500.491017
NDCs,FCFF,2029,1200.392814
NDCs,DCF,2029,157.4922505
NDCs,EBIT,2030,1737.140564
NDCs,FCFF,2030,1389.712451
NDCs,DCF,2030,121.4640929
NDCs,EBIT,2031,1155.765712
NDCs,FCFF,2031,924.6125699
NDCs,DCF,2031,53.83564445
NDCs,EBIT,2032,1335.585487
NDCs,FCFF,2032,1068.46839
NDCs,DCF,2032,41.44374201
NDCs,EBIT,2033,1527.994125
NDCs,FCFF,2033,1222.3953
NDCs,DCF,2033,31.58610794
NDCs,EBIT,2034,1733.715771
NDCs,FCFF,2034,1386.972617
NDCs,DCF,2034,23.87478619
Below 2C,EBIT,2025,-62471.14635
Below 2C,FCFF,2025,-49976.91708
Below 2C,DCF,2025,-33293.28303
Below 2C,EBIT,2026,-290.9562928
Below 2C,FCFF,2026,-232.7650343
Below 2C,DCF,2026,-103.2980355
Below 2C,EBIT,2027,-223.5101495
Below 2C,FCFF,2027,-178.8081196
Below 2C,DCF,2027,-52.86262406
Below 2C,EBIT,2028,-150.6168135
Below 2C,FCFF,2028,-120.4934508
Below 2C,DCF,2028,-23.73078387
Below 2C,EBIT,2029,-71.9682386
Below 2C,FCFF,2029,-57.57459088
Below 2C,DCF,2029,-7.553820537
Below 2C,EBIT,2030,12.75855371
Below 2C,FCFF,2030,10.20684297
Below 2C,DCF,2030,0.892101759
Below 2C,EBIT,2031,-232.8198929
Below 2C,FCFF,2031,-186.2559143
Below 2C,DCF,2031,-10.84476624
Below 2C,EBIT,2032,-216.1280355
Below 2C,FCFF,2032,-172.9024284
Below 2C,DCF,2032,-6.706537792
Below 2C,EBIT,2033,-202.7784883
Below 2C,FCFF,2033,-162.2227907
Below 2C,DCF,2033,-4.191759062
Below 2C,EBIT,2034,-193.4580229
Below 2C,FCFF,2034,-154.7664183
Below 2C,DCF,2034,-2.664086589
Delayed Transition,EBIT,2025,-61579.68896
Delayed Transition,FCFF,2025,-49263.75117
